"id","名前","種類","性別","年齢（登録時）","体重","毛色","避妊・去勢","マイクロチップ","ワクチン接種","ひとこと","健康状態","性格","保護された経緯","写真ファイルパス"
"4008","ミドリちゃん","日本猫","オス（♂）","0歳1ヵ月（2017年08月29日登録）","0.37kg","白、グレー","未","無","未","一番小さい子ですが、元気にすくすくと成長しています。","","","病院で保護しました。","./img/4008/"
"4009","キミドリちゃん","日本猫","オス（♂）","0歳1ヵ月（2017年08月29日登録）","0.41kg","ブラック","未","無","未","一番体が大きい子です。ちょっとおっとりしてるかもしれません。","","","病院で保護しました。","./img/4009/"
"4010","あんず","ヨークシャー・テリア","メス（♀）","推定7歳（2017年08月31日登録）","4.4kg","ダークスチールブルー","未","有","済","環境にもだいぶ慣れました。犬同士で遊んだり、おもちゃで遊びます。急に触られるとビックリしますが自分から寄ってきます。トリミングはこれからです。","歯石、パテラ右G3左G2","人懐っこい、積極的、活発","ブリーダーから保護","./img/4010/"
"4011","うすみ","ミックス","メス（♀）","0歳5ヵ月（2017年09月02日登録）","2.9kg","うす三毛","済","無","済","うすミケのうすみちゃんです。とっても元気いっぱいで、ご飯が大好き、美人で頭のいい子ですです。家族として迎えてくださる方を探しております。飼育歴のある方、ない方問いませんが、終生大事にしてくださる方、ワクチンなど予防をしてくださる方、きちんと病院に連れて行ってくださる方など、当然のお約束を守ってくださる方を募集しております。","問題ありません。元気いっぱいです☆避妊手術・去勢手術、ワクチン、内部・外部寄生虫駆虫済。エイズ・白血病陰性。マイクロチップはご希望がございましたら、こちらでお入れいたします。","すごくなっつこいので、猫ちゃんを飼育するのが、初めての方でも。また、今まで飼育していた方でも!","病院の近くをウロウロしているところを保護されました。","./img/4011/"
"4012","C-118しらす","ミックス","オス（♂）","推定5歳（2017年09月05日登録）","4.7kg","しろ","済","有","済","いいこです","良好(耳血腫等治癒)","温厚です","鳥取県保健所より受け入れ","./img/4012/"
"4013","C-119ブン","ミックス","オス（♂）","推定1歳（2017年09月05日登録）","4.2kg","白黒","済","有","済","とってもいい子なのですが、病気があるのでなかなか里親さんが見つかりません。鼻気管炎ですので、他の猫に感染する可能性があります。1頭で飼ってください。もしくは同じ病気の子と。","元気・たまにくしゃみをする程度(鼻気管炎症状(遺伝子検査にて猫ヘルペスウイルス陽性))","とってもいい子です。人が好きでよく遊びます","鳥取県の保健所より","./img/4013/"
"4014","C-120ちゃたろう","ミックス","オス（♂）","推定5歳（2017年09月05日登録）","5kg","キジトラ","済","有","済","宜しくお願いします。","良好","マイペースな猫らしい猫です。","鳥取県の保健所より受け入れ","./img/4014/"
"4015","はる","トイ・プードル","メス（♀）","6歳4ヵ月（2017年09月16日登録）","3.56kg","アプリコット","未","有","済","只今、環境に慣れさせ中です。トリミングもこれからの予定です。","乳腺腫瘍、ソ径ヘルニア(小)、歯石","人懐っこい、アピール上手、活発","ブリーダーから保護","./img/4015/"
"4016","もも","トイ・プードル","メス（♀）","7歳6ヵ月（2017年09月16日登録）","5.68kg","シルバー","未","有","済","只今、環境に慣れさせ中です。トリミングはこれから予定しています。","歯石、パテラ右G1・左G2","人懐っこい、縄張り意識が高い、犬同士だと強気","ブリーダーからの保護","./img/4016/"
"4017","はな","トイ・プードル","メス（♀）","6歳3ヵ月（2017年09月16日登録）","2.94kg","アプリコット","未","有","済","只今、環境に慣れさせ中です。トリミングはこれから予定しています。","歯石、パテラ右G3・左G2、右下顎骨折","少しビビリ、寄ってきてくれる","ブリーダーからの保護","./img/4017/"
"4018","すず","トイ・プードル","メス（♀）","6歳1ヵ月（2017年09月16日登録）","3.9kg","アプリコット","未","有","済","只今、環境に慣れさせ中です。トリミングは終了しました。","歯石","人懐っこい、活発、抱っこ好き","ブリーダーからの保護","./img/4018/"
"4020","チップ","ミニチュア・ダックスフンド","オス（♂）","推定8歳（2017年09月16日登録）","6.16kg","ホワイト&レッド","未","有","済","環境にも慣れ、自己主張をするようになりました。甘えん坊ですぐに膝の上で寝てしまいます。触ってほしいと催促してきます。","歯石","大人しい、人懐っこい、寂しがり","ブリーダーからの保護","./img/4020/"
"4021","デール","ミニチュア・ダックスフンド","オス（♂）","推定8歳（2017年09月16日登録）","6.86kg","ホワイト&レッド","未","有","済","只今、環境に慣れさせ中です。トリミング済みです。","歯石、パテラ右G1・左G2","温厚、大人しい、寂しがり","ブリーダーからの保護","./img/4021/"
"4023","チャイ","マルチーズ","メス（♀）","推定6歳（2017年10月05日登録）","3.8kg","ホワイト","未","有","済","只今、環境に慣れさせ中です。トリミングは終了しています。","乳腺腫瘍","活発、ヤンチャ","ブリーダーから保護","./img/4023/"
"4024","さくら","ミニチュア・ダックスフンド","メス（♀）","推定7歳（2017年10月05日登録）","3.4kg","レッド","済","有","済","環境にも慣れ、自己主張するようになりました。外が気になるのかずっと外を眺めています。抱っこも好きみたいで自ら寄ってきます。","歯石","大人しい、少しビビリ、甘えん坊","ブリーダーから保護","./img/4024/"
"4025","音","トイ・プードル","メス（♀）","推定8歳（2017年10月05日登録）","3.04kg","レッド","未","有","済","只今、環境に慣れさせ中です。トリミングはこれからを予定しています。","歯石","大人しい、遊んで欲しいときは鳴きます","ブリーダーから保護","./img/4025/"
"4027","子猫ちゃん32","ミックス","メス（♀）","0歳2ヵ月（2017年10月19日登録）","0.5kg","白黒","未","無","未","10月18日に保護食欲あり詳しくは当院ブログを見てください。","","","野良猫の子","./img/4027/"
"4030","ミルクちゃん17-7-D9","その他の犬種、ミックス","メス（♀）","0歳5ヵ月（2017年10月26日登録）","1.8kg","白、黒","未","有","済","終生飼育していただける優しい飼い主さんを待っています!譲渡前の審査段階でのご自宅訪問や譲渡後のフォローなどの関係上東京、神奈川、埼玉、千葉エリアと限らせて頂いております。譲渡後に不妊手術を行っていただきます。","・良好・2017年9月狂犬病予防接種済み・2017年9月混合ワクチン接種済み","・人懐っこくて、甘えん坊。・初対面の人にでも自ら寄ってきます。とても性格の良い仔です。・抱っこが大好きです。・元気いっぱいです。・音に敏感なところがあります。","新しい飼い主様を探しております。","./img/4030/"
"4031","小春","マルチーズ","メス（♀）","推定5歳（2017年10月28日登録）","2.46kg","ホワイト","未","有","済","だいぶ環境に慣れ、自己主張するようになりました。人が好きで、ストーカーのようについて来ます。抱っこも好きなのでいつも寝てしまいます。","歯石、パテラG2、フィラリア陽性、声帯切除","人懐っこい、甘えん坊、抱っこ好き","ブリーダーからの保護","./img/4031/"
"4032","ルル","ミニチュア・ダックスフンド","メス（♀）","推定5歳（2017年10月28日登録）","3.2kg","レッド","未","有","済","環境にも慣れ、自己主張するようになりました。名前を呼ぶと着てくれます。抱っこも好きでずっと抱っこさせてくれます。犬同士でも遊べますし、おもちゃにも興味があるみたいです。","歯石、声帯切除","大人しい、甘えん坊","ブリーダーからの保護","./img/4032/"
"4033","ごま","トイ・プードル","メス（♀）","推定7歳（2017年10月28日登録）","5.68kg","ブラック","未","有","済","環境にも慣れました。元々人懐っこい子でしたが、かまってちゃんになりました。おもちゃで遊ぶことが好きです。犬同士でも遊べます。","パテラG2から3、頚部脱毛","人懐っこい、活発、おもちゃ好き","ブリーダーからの保護","./img/4033/"
"4034","みかん","トイ・プードル","メス（♀）","推定6歳（2017年10月28日登録）","3.98kg","レッド","未","有","済","環境にもだいぶ慣れ、自己主張をするようになりました。まだ少しビクつきますが、触って欲しい&抱っこして欲しいときはかなり猛烈アピールをします。犬同士でも遊べます。","歯石、尾部腫瘤(途中観察中)","大人しい、人懐っこい、抱っこ好き","ブリーダーからの保護","./img/4034/"
"4035","モカ","トイ・プードル","メス（♀）","推定7歳（2017年10月28日登録）","4.06kg","レッド","未","有","済","だいぶ環境にも慣れました。まだ少しビビリますが触らせてくれるようになりました。自己主張は控えめなのでわかりにくいですが。おもちゃが好きみたいで夢中になって遊びます。","歯石、パテラG2、乳腺腫瘍","少しビビリ、大人しい","ブリーダーからの保護","./img/4035/"
"4037","ろく","日本猫","オス（♂）","1歳0ヵ月（2017年10月30日登録）","4.1kg","キジトラ白","済","無","済","完全室内飼いで生涯飼育できる方。毎年の追加ワクチンも忘れずにしてくれる方。PS実物は写真よりもっと可愛いのでどうか宜しくお願いします!","良好Felv(-)Fiv(-)駆虫済","いつもゴロゴロいっている。とってもとってもいい奴です。警戒心は全くなく誰にでも懐きます。","自分から車にすり寄って来た。","./img/4037/"
"4038","グレムリン","日本猫","メス（♀）","0歳1・5ヵ月（2017年11月02日登録）","0.55kg","三毛","未","無","未","完全室内飼育で、生涯愛情深く飼育してくださるご家庭に里子に出したいと思います。時期がまいりましたら、避妊去勢手術をさせること、毎年ワクチンの追加接種を受けさせること。猫トイレを2個以上用意してやってください。成長の記録を、メールかインスタで報告いただける事が条件となります。同腹子2頭で引き取っていただけると、猫たちも幸せだと思います。もし可能でしたら、そのことも併せてご検討ください。","健康状態良好。外部、内部寄生虫駆除、予防済。シャンプー済。11月末にウイルス検査と初回3種混合ワクチンをする予定です。","活発で元気。6匹兄弟にもまれ、鍛えられています。犬とも仲良く出来ます。","地元警察で保護されて、ボランティアさんが健康診断に連れてきた子猫たちです。6匹兄妹たちの1匹。","./img/4038/"
"4039","キャラ","日本猫","メス（♀）","0歳1・5ヵ月（2017年11月02日登録）","0.55kg","三毛","未","無","未","完全室内飼育で、生涯愛情深く飼育してくださるご家庭に里子に出したいと思います。時期がまいりましたら、避妊去勢手術をさせること、毎年ワクチンの追加接種を受けさせること。猫トイレを2個以上用意してやってください。成長の記録を、メールかインスタで報告いただける事が条件となります。同腹子2頭で引き取っていただけると、猫たちも幸せだと思います。もし可能でしたら、そのことも併せてご検討ください。","健康状態良好。外部、内部寄生虫駆除、予防済。シャンプー済。11月末にウイルス検査と初回3種混合ワクチンをする予定です。","活発で元気。6匹兄弟にもまれ、鍛えられています。犬とも仲良く出来ます。","地元警察で保護されて、ボランティアさんが健康診断に連れてきた子猫たちです。6匹兄妹たちの1匹。","./img/4039/"
"4040","テト","日本猫","メス（♀）","0歳1・5ヵ月（2017年11月02日登録）","0.55kg","茶黒","未","無","未","完全室内飼育で、生涯愛情深く飼育してくださるご家庭に里子に出したいと思います。時期がまいりましたら、避妊去勢手術をさせること、毎年ワクチンの追加接種を受けさせること。猫トイレを2個以上用意してやってください。成長の記録を、メールかインスタで報告いただける事が条件となります。同腹子2頭で引き取っていただけると、猫たちも幸せだと思います。もし可能でしたら、そのことも併せてご検討ください。","健康状態良好。外部、内部寄生虫駆除、予防済。シャンプー済。11月末にウイルス検査と初回3種混合ワクチンをする予定です。","活発で元気。6匹兄弟にもまれ、鍛えられています。犬とも仲良く出来ます。","地元警察で保護されて、ボランティアさんが健康診断に連れてきた子猫たちです。6匹兄妹たちの1匹。","./img/4040/"
"4041","シマコ","日本猫","メス（♀）","0歳1・5ヵ月（2017年11月02日登録）","0.45kg","茶黒縞","未","無","未","完全室内飼育で、生涯愛情深く飼育してくださるご家庭に里子に出したいと思います。時期がまいりましたら、避妊去勢手術をさせること、毎年ワクチンの追加接種を受けさせること。猫トイレを2個以上用意してやってください。成長の記録を、メールかインスタで報告いただける事が条件となります。同腹子2頭で引き取っていただけると、猫たちも幸せだと思います。もし可能でしたら、そのことも併せてご検討ください。","健康状態良好。外部、内部寄生虫駆除、予防済。シャンプー済。11月末にウイルス検査と初回3種混合ワクチンをする予定です。","活発で元気。6匹兄弟にもまれ、鍛えられています。犬とも仲良く出来ます。","地元警察で保護されて、ボランティアさんが健康診断に連れてきた子猫たちです。6匹兄妹たちの1匹。","./img/4041/"
"4043","ラスカル","日本猫","オス（♂）","0歳1・5ヵ月（2017年11月02日登録）","0.65kg","茶黒縞","未","無","未","完全室内飼育で、生涯愛情深く飼育してくださるご家庭に里子に出したいと思います。時期がまいりましたら、避妊去勢手術をさせること、毎年ワクチンの追加接種を受けさせること。猫トイレを2個以上用意してやってください。成長の記録を、メールかインスタで報告いただける事が条件となります。同腹子2頭で引き取っていただけると、猫たちも幸せだと思います。もし可能でしたら、そのことも併せてご検討ください。","健康状態良好。外部、内部寄生虫駆除、予防済。シャンプー済。11月末にウイルス検査と初回3種混合ワクチンをする予定です。","活発で元気。6匹兄弟にもまれ、鍛えられています。犬とも仲良く出来ます。","地元警察で保護されて、ボランティアさんが健康診断に連れてきた子猫たちです。6匹兄妹たちの1匹。","./img/4043/"
