"id","名前","種類","性別","年齢（登録時）","体重","毛色","避妊・去勢","マイクロチップ","ワクチン接種","ひとこと","健康状態","性格","保護された経緯","写真ファイルパス"
"17","ミーゾ君","ミックス","オス（♂）","0歳3ヵ月（2013年08月31日登録）","0.8kg","キジ白","未","無","済","完全室内飼育、日頃からの健康管理、適切な時期に去勢手術、ワクチン接種等を実施していただける方にお願いします。","","","溝に落ちていた所を保護されました。","./img/17/"
"37","なし","日本猫","オス（♂）","0歳9ヵ月（2013年09月05日登録）","4kg","キジトラ","済","無","済","人なつっこい性格です。3種混合ワクチンの予防接種、2回済み。猫エイズ、猫白血病のウイルスチェックも陰性でした。","","","2013年6月に保護されました。","./img/37/"
"85","まめちゃん","日本猫","オス（♂）","0歳2ヵ月（2013年09月25日登録）","1.5kg","キジトラ","未","無","済","とっても甘えん坊な子猫です♪呼ぶと膝の上に乗り、調子が良いと肩まで乗ってリラックスします。良く食べて元気な子です。","","","当院付近の工場で生まれた子猫を保護いたしました。","./img/85/"
"86","ちびちゃん","日本猫","オス（♂）","0歳2ヵ月（2013年09月25日登録）","1.5kg","キジトラ","未","無","済","とっても愛嬌がある子猫です!かくれんぼが大好きで、見つかると逃げます(笑)時々おしりだけ出して隠れた気になっています。見ていて気持ちがなごむ、かわいい子猫です!","","","当院付近の工場で生まれた子猫を保護いたしました。","./img/86/"
"119","せり","その他の犬種、ミックス","メス（♀）","0歳3ヵ月（2013年10月12日登録）","4kg","黒・白","未","無","未","終生大切にしていただける方の応募をお待ちしております。","","","野外で産まれて保護された子犬です。","./img/119/"
"123","ララァ","ミニチュア・ダックスフンド","メス（♀）","推定6歳（2013年10月16日登録）","3.5kg","ブラックタン","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/123/"
"127","マジェ","チワワ","オス（♂）","0歳3ヵ月（2013年10月16日登録）","0.8kg","ブラックタンホワイト","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/127/"
"134","アレックス","ミニチュア・ダックスフンド","オス（♂）","0歳4ヵ月（2013年10月18日登録）","1.5kg","ブラックタン","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/134/"
"147","くぅ","ポメラニアン","オス（♂）","0歳5ヵ月（2013年10月18日登録）","2.5kg","ブラック","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/147/"
"157","ニック","その他の犬種、ミックス","オス（♂）","推定2歳（2013年10月23日登録）","4kg","ブラック","済","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/157/"
"166","ブラッキー","アメリカン・コッカー・スパニエル","オス（♂）","5歳7ヵ月（2013年10月26日登録）","15kg","ブラック","済","有","未","5歳になりますが、落ち着いた子です。","","","飼い主様病気になり、歩行困難の為、散歩ができなくなり、やむなく里親を探しています。","./img/166/"
"174","シルバー","トイ・プードル","メス（♀）","推定9歳（2013年10月27日登録）","4kg","シルバー","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/174/"
"179","キャロ","パピヨン","メス（♀）","0歳8ヵ月（2013年10月29日登録）","2kg","トライ","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/179/"
"183","こたろー","トイ・プードル","オス（♂）","0歳2ヵ月（2013年10月29日登録）","0.8kg","レッド","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/183/"
"189","イサム","その他の犬種、ミックス","オス（♂）","0歳4ヵ月（2013年10月30日登録）","9kg","ホワイトブラウン","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/189/"
"212","チャンバラ","シェットランド・シープドッグ","オス（♂）","0歳4ヵ月（2013年11月09日登録）","2kg","ブラックホワイトタン","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/212/"
"236","マシェリ","マルチーズ","メス（♀）","0歳3ヵ月（2013年11月16日登録）","0.8kg","ホワイト","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/236/"
"241","テレサ","トイ・プードル","メス（♀）","推定6歳（2013年11月16日登録）","3.5kg","アプリコット","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/241/"
"246","バーバラ","トイ・プードル","メス（♀）","0歳3ヵ月（2013年11月16日登録）","1kg","ホワイト","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/246/"
"249","ガブリエル","その他の犬種、ミックス","オス（♂）","0歳3ヵ月（2013年11月16日登録）","1kg","黒茶","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/249/"
"273","ソナタ","ポメラニアン","メス（♀）","0歳2ヵ月（2013年11月24日登録）","1kg","パーティ","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/273/"
"279","ゆう","ミックス","メス（♀）","0歳1ヵ月（2013年11月27日登録）","0.6kg","キジトラ?白色混じり","未","無","未","垂れ耳の可愛い子猫です。毛足が長いので、長めの毛になるかもしれません。体にはトラ模様がありません。","","","飼い主様より","./img/279/"
"286","ダンテ","ミニチュア・ダックスフンド","オス（♂）","0歳4ヵ月（2013年12月02日登録）","2kg","ブラックタン","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております","./img/286/"
"293","ホロ","マルチーズ","メス（♀）","0歳6ヵ月（2013年12月02日登録）","3kg","ホワイト","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております","./img/293/"
"302","ミューズ","ボストン・テリア","メス（♀）","推定4歳（2013年12月03日登録）","4.5kg","ボストンカラー","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/302/"
"308","保護ネコ","日本猫","オス（♂）","0歳4ヵ月（2013年12月03日登録）","3kg","白・黒トラ","未","無","済","とても元気で活発な子で、肩に乗るのが好きです。","","","民家の庭で弱っているところを保護されました。","./img/308/"
"318","わた","マルチーズ","オス（♂）","0歳4ヵ月（2013年12月07日登録）","1kg","ホワイト","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/318/"
"320","ラッキー","マルチーズ","オス（♂）","推定2歳（2013年12月07日登録）","3.5kg","ホワイト","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/320/"
"329","すみれ","キャバリア・キング・チャールズ・スパニエル","メス（♀）","0歳2ヵ月（2013年12月13日登録）","1kg","トライ","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/329/"
"332","キララ","トイ・プードル","メス（♀）","推定5歳（2013年12月13日登録）","3.5kg","ブラック","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/332/"
"333","メル","チワワ","オス（♂）","0歳3ヵ月（2013年12月13日登録）","1.5kg","ホワイト&レッド","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/333/"
"336","トラ","日本猫","オス（♂）","0歳10ヵ月（2013年12月14日登録）","3.5kg","キジトラ","済","無","済","とても性格の良い穏やかな子です!先日、去勢手術も済ませました。写真のイメージより身体は小さめです。よろしくお願いします。","","","動物好きの女性のお家の前に置かれていたそうです。この方がご高齢のため、可愛がっていただける里親様を探しています。2匹のうち1匹は決まりましたので、写真左側の猫ちゃんになります。","./img/336/"
"343","ラン","ウェルシュ・コーギー・ペンブローク","メス（♀）","6歳2ヵ月（2013年12月20日登録）","12kg","白茶","済","無","済","小さい時から大切に育てられてきたわんちゃんです。病院にも張り紙を掲載しています。犬が好きで可愛がって頂ける里親さんが見つかればとても嬉しいです。","","","飼い主様がご高齢になり足腰を痛めてしまったために、里親さんを探しています。","./img/343/"
"346","フレア","チワワ","メス（♀）","推定5歳（2013年12月20日登録）","3kg","クリーム","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/346/"
"349","アイ","トイ・プードル","メス（♀）","推定4歳（2013年12月20日登録）","4kg","アプリコット","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/349/"
"352","瑠璃丸くん","ミックス","オス（♂）","0歳2ヵ月（2013年12月21日登録）","0.8kg","白","未","無","未","元気で甘えん坊な男の子です。猫白血病、猫エイズ検査済み(陰性)です。トイレしつけ済み。可愛がってくださるご家族、お待ちしています。","","","川のそばでさまよってるところを保護されました。","./img/352/"
"355","バド","日本猫","オス（♂）","推定5歳（2013年12月21日登録）","4kg","白茶","済","無","済","少し臆病ですが、だんだんと慣れて来ました。愛嬌のある顔です。どうぞよろしくお願い致します。","","","やむを得ない事情によりオーナー様が飼育できなくなってしまった為、当院でお預かりしています。","./img/355/"
"358","キキ","フレンチ・ブルドッグ","メス（♀）","6歳7ヵ月（2013年12月21日登録）","7kg","ブリンドル","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/358/"
"361","ミーノ","その他の猫種","メス（♀）","0歳2ヵ月（2013年12月24日登録）","0.6kg","ブラウンタビー","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/361/"
"370","キジトラ♀","ミックス","メス（♀）","0歳3ヵ月（2013年12月26日登録）","1.4kg","キジトラ","未","無","未","可愛がって下さる飼い主様大募集です!!お気軽にお問合せください♪元気いっぱいな女の子です!!","","","飼い主様が譲渡をご希望されています。","./img/370/"
"373","こうた","スコティッシュ・フォールド","オス（♂）","0歳2ヵ月（2013年12月28日登録）","1kg","ブラウンタビー","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/373/"
"380","コロ","柴","オス（♂）","0歳7ヵ月（2013年12月28日登録）","7.5kg","赤","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/380/"
"392","モンロー","その他の猫種","メス（♀）","0歳2ヵ月（2014年01月07日登録）","0.5kg","ブルー","未","無","未","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/392/"
"393","ムー","チワワ","メス（♀）","5歳5ヵ月（2014年01月07日登録）","1.8kg","フォーン","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/393/"
"394","モロッカン","その他の猫種","オス（♂）","0歳2ヵ月（2014年01月07日登録）","0.6kg","黒","未","無","未","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/394/"
"400","ダイヤ","ヨークシャー・テリア","オス（♂）","0歳8ヵ月（2014年01月11日登録）","1.5kg","スチールブルータン","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/400/"
"403","いろは","ジャック・ラッセル・テリア","メス（♀）","6歳4ヵ月（2014年01月11日登録）","4kg","タン&ホワイト","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/403/"
"412","ようすけ","柴","オス（♂）","6歳7ヵ月（2014年01月17日登録）","8.5kg","赤","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/412/"
"414","タマ","ミックス","オス（♂）","0歳1ヵ月（2014年01月17日登録）","0.9kg","キジ","未","無","未","今が一番可愛い時期です。現在1か月半頃かなと思います。大事にしていただける方にお譲りしたいです。","","","保護主様のお庭で保護されました。","./img/414/"
"415","ホイップ","チワワ","オス（♂）","9歳0ヵ月（2014年01月18日登録）","2.5kg","ホワイト","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/415/"
"418","コポ","ポメラニアン","オス（♂）","0歳3ヵ月（2014年01月18日登録）","1kg","オレンジセーブル","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/418/"
"419","ミシェル","ビーグル","メス（♀）","0歳3ヵ月（2014年01月18日登録）","2.5kg","ハウンドカラー","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/419/"
"422","あかね","ミニチュア・ダックスフンド","メス（♀）","0歳3ヵ月（2014年01月18日登録）","1kg","チョコレート","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/422/"
"425","ミーシャ","ペルシャ（チンチラ）","メス（♀）","0歳6ヵ月（2014年01月18日登録）","2.5kg","チンチラシルバー","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/425/"
"426","ティーナ","その他の犬種、ミックス","メス（♀）","0歳4ヵ月（2014年01月18日登録）","5kg","ブラックラストホワイト","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/426/"
"427","シモン","トイ・プードル","メス（♀）","0歳2ヵ月（2014年01月18日登録）","1kg","ブラウン","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/427/"
"431","ミー助","その他の猫種","オス（♂）","0歳9ヵ月（2014年01月22日登録）","1.5kg","その他","済","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/431/"
"433","守","ヨークシャー・テリア","オス（♂）","3歳1ヵ月（2014年01月22日登録）","1.5kg","ブラック","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/433/"
"434","ケイ","ヨークシャー・テリア","メス（♀）","2歳6ヵ月（2014年01月22日登録）","3.5kg","ブラック","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/434/"
"439","トビちゃん","ウェルシュ・コーギー・ペンブローク","オス（♂）","0歳6ヵ月（2014年01月23日登録）","11kg","パーティカラー","未","無","済","まだまだ育ち盛り。新しい家族に愛情たっぷり育ててもらいたいです。","","","夫婦間の事情があってかえなくなりました。","./img/439/"
"442","ソール","その他の猫種","メス（♀）","0歳2ヵ月（2014年01月25日登録）","1kg","ブラウンマッカレルタビーホワイト","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/442/"
"443","桃子","柴","メス（♀）","0歳3ヵ月（2014年01月25日登録）","1.5kg","赤","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/443/"
"447","チャマ","チワワ","オス（♂）","0歳2ヵ月（2014年01月25日登録）","0.5kg","レッド","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/447/"
"450","ミリ","チワワ","メス（♀）","推定3歳（2014年01月26日登録）","2.5kg","ホワイト","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/450/"
"451","モンド","トイ・プードル","オス（♂）","推定1歳（2014年01月26日登録）","3kg","ブラック","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/451/"
"453","クープ","チワワ","オス（♂）","推定1歳（2014年01月26日登録）","3.5kg","ブラックタン","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/453/"
"454","かよい","柴","メス（♀）","推定3歳（2014年01月26日登録）","5.5kg","ブタックタン","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/454/"
"459","アビータ","トイ・プードル","オス（♂）","0歳2ヵ月（2014年01月31日登録）","1kg","レッド","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/459/"
"462","鉄平","その他の犬種、ミックス","オス（♂）","0歳3ヵ月（2014年01月31日登録）","2.5kg","レッド","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/462/"
"465","コマ","トイ・プードル","オス（♂）","0歳4ヵ月（2014年01月31日登録）","1.5kg","アプリコット","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/465/"
"468","ゴーロ","チワワ","オス（♂）","0歳2ヵ月（2014年02月01日登録）","0.5kg","ホワイトチョコタン","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/468/"
"471","ゼロ","ミニチュア・ダックスフンド","オス（♂）","5歳10ヵ月（2014年02月04日登録）","3.5kg","ブラックタン","済","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/471/"
"475","コロ","チワワ","オス（♂）","4歳10ヵ月（2014年02月06日登録）","3kg","クリーム","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/475/"
"477","ベア","トイ・プードル","オス（♂）","0歳2ヵ月（2014年02月08日登録）","1kg","ホワイト","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/477/"
"478","テディ","トイ・プードル","オス（♂）","0歳2ヵ月（2014年02月08日登録）","1kg","クリーム","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/478/"
"479","バーグ","その他の猫種","オス（♂）","0歳2ヵ月（2014年02月08日登録）","1kg","シールポイント","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/479/"
"480","とおる","トイ・プードル","オス（♂）","0歳3ヵ月（2014年02月08日登録）","1.5kg","レッド","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/480/"
"485","シフォン","ウェルシュ・コーギー・ペンブローク","メス（♀）","1歳10ヵ月（2014年02月12日登録）","7.8kg","白&茶","未","無","済","大人しい性格で無駄吠えしない体型は小型です!☆☆☆☆現在トライアル中です☆☆☆☆一時、里親募集を締め切らせて頂きます。","","","やむ得ない事情により、新しい家族を探しています。","./img/485/"
"486","イル","フレンチ・ブルドッグ","メス（♀）","推定6歳（2014年02月13日登録）","7kg","ブリンドル","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/486/"
"488","カロ","その他の犬種、ミックス","メス（♀）","推定2歳（2014年02月13日登録）","10kg","ホワイト","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/488/"
"490","パス","トイ・プードル","メス（♀）","推定5歳（2014年02月13日登録）","2kg","ホワイト","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/490/"
"491","レイナ","ウェルシュ・コーギー・ペンブローク","メス（♀）","7歳3ヵ月（2014年02月13日登録）","9kg","レッドセーブル","済","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/491/"
"492","ルカ","フレンチ・ブルドッグ","オス（♂）","推定6歳（2014年02月13日登録）","7kg","パイド","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/492/"
"494","いつみ","ミニチュア・ダックスフンド","メス（♀）","0歳3ヵ月（2014年02月14日登録）","1kg","クリーム","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/494/"
"496","くみ","ペキニーズ","メス（♀）","0歳3ヵ月（2014年02月14日登録）","1.5kg","ホワイト","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/496/"
"497","お嬢","パピヨン","メス（♀）","0歳2ヵ月（2014年02月15日登録）","1.2kg","白茶","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/497/"
"499","ビジュ","その他の猫種","メス（♀）","0歳2ヵ月（2014年02月15日登録）","0.8kg","ブルー","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/499/"
"504","メリー","その他の犬種、ミックス","メス（♀）","7歳1ヵ月（2014年02月19日登録）","7.5kg","白茶","済","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/504/"
"509","ビータン","ビーグル","オス（♂）","8歳7ヵ月（2014年02月20日登録）","8kg","ブラック","済","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/509/"
"511","レイク","その他の犬種、ミックス","オス（♂）","0歳1ヵ月（2014年02月22日登録）","0.7kg","ブラックタン","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/511/"
"513","チョッパー","ミニチュア・ダックスフンド","オス（♂）","0歳3ヵ月（2014年02月22日登録）","1.5kg","レッド","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/513/"
"516","オズ","パピヨン","オス（♂）","0歳4ヵ月（2014年02月22日登録）","1.5kg","白茶","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/516/"
"517","シンベイ","ペキニーズ","オス（♂）","0歳2ヵ月（2014年02月22日登録）","1kg","フォーン","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/517/"
"520","レーヌ","パピヨン","メス（♀）","0歳5ヵ月（2014年02月24日登録）","1.5kg","白茶","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/520/"
"526","あさ","その他の犬種、ミックス","メス（♀）","0歳2ヵ月（2014年03月01日登録）","4.4kg","黒茶","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/526/"
"528","ケンシン","柴","オス（♂）","0歳4ヵ月（2014年03月01日登録）","6.5kg","ブラックタン","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/528/"
"531","つばき","柴","メス（♀）","推定6歳（2014年03月05日登録）","6.5kg","ブラックタン","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/531/"
"536","タイシ","チワワ","オス（♂）","推定2歳（2014年03月07日登録）","2.5kg","クリーム","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/536/"
"537","ザック","その他の犬種、ミックス","オス（♂）","推定7歳（2014年03月07日登録）","5.5kg","ホワイト","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/537/"
"544","コッタ","ヨークシャー・テリア","オス（♂）","0歳4ヵ月（2014年03月08日登録）","3kg","スチールブルータン","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/544/"
"547","ナルト","その他の猫種","オス（♂）","0歳4ヵ月（2014年03月09日登録）","2kg","ブラウンタビー","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/547/"
"548","ひばり","トイ・プードル","オス（♂）","0歳2ヵ月（2014年03月09日登録）","1kg","レッド","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/548/"
"549","大五郎","柴","オス（♂）","0歳3ヵ月（2014年03月09日登録）","3.5kg","ブラックタン","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/549/"
"550","菜々子","パグ","メス（♀）","0歳3ヵ月（2014年03月09日登録）","2kg","ブラック","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/550/"
"551","アバン","その他の犬種、ミックス","メス（♀）","0歳5ヵ月（2014年03月09日登録）","4kg","ブラック","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/551/"
"553","ズーズー","その他の犬種、ミックス","オス（♂）","0歳2ヵ月（2014年03月09日登録）","1kg","レッド","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/553/"
"554","ダックスちゃん","ミニチュア・ダックスフンド","メス（♀）","推定4歳（2014年03月20日登録）","4kg","レッド","未","無","済","とても人懐っこく明るい性格のわんちゃんです。サイズも手ごろで室内飼いには適していると思います。大切に飼っていただける方よろしくお願いします。","","","やむ得ない理由で飼い主さんから保護した子です。","./img/554/"
"565","ジョマル","アメリカン・ショートヘア","オス（♂）","0歳2ヵ月（2014年03月22日登録）","0.8kg","レッドタビー","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/565/"
"568","ヴィヴィアン","ラブラドール・レトリーバー","メス（♀）","0歳4ヵ月（2014年03月23日登録）","10kg","クリーム","未","有","済","お気軽にお問い合わせください。","","","当院ではやむ得ない理由や様々な経緯で保護した子の里親さん探しに力を入れております。","./img/568/"
